year,team,position,avg_age_p_pos,avg_age
1974,Australia,Midfielder,28.625,27.5
1974,Brazil,Defender,24.857142857142858,26.09090909090909
1974,Brazil,Forward,26.0,26.09090909090909
1974,Brazil,Goalkeeper,26.0,26.09090909090909
1974,Brazil,Midfielder,27.25,26.09090909090909
1974,Bulgaria,Defender,27.833333333333332,26.09090909090909
1974,Bulgaria,Forward,25.285714285714285,26.09090909090909
1974,Bulgaria,Goalkeeper,25.666666666666668,26.09090909090909
1974,Bulgaria,Midfielder,25.5,26.09090909090909
1974,Chile,Defender,27.25,27.772727272727273
1974,Chile,Forward,27.4,27.772727272727273
1974,Chile,Goalkeeper,30.333333333333332,27.772727272727273
1974,Chile,Midfielder,27.5,27.772727272727273
1974,East Germany,Defender,25.0,26.5
1974,East Germany,Forward,27.0,26.5
1974,East Germany,Goalkeeper,29.666666666666668,26.5
1974,East Germany,Midfielder,26.0,26.5
1974,Haiti,Defender,25.25,26.227272727272727
1974,Haiti,Forward,27.0,26.227272727272727
1974,Haiti,Goalkeeper,26.0,26.227272727272727
1974,Haiti,Midfielder,27.0,26.227272727272727
1974,Italy,Defender,28.75,28.863636363636363
1974,Italy,Forward,27.6,28.863636363636363
1974,Italy,Goalkeeper,32.0,28.863636363636363
1974,Italy,Midfielder,28.5,28.863636363636363
1974,Netherlands,Defender,27.875,27.227272727272727
1974,Netherlands,Forward,27.0,27.227272727272727
1974,Netherlands,Goalkeeper,30.0,27.227272727272727
1974,Netherlands,Midfielder,25.625,27.227272727272727
1974,Poland,Defender,23.666666666666668,24.772727272727273
1974,Poland,Forward,25.0,24.772727272727273
1974,Poland,Goalkeeper,24.333333333333332,24.772727272727273
1974,Poland,Midfielder,25.833333333333332,24.772727272727273
1974,Scotland,Defender,24.25,26.318181818181817
1974,Scotland,Forward,27.6,26.318181818181817
1974,Scotland,Goalkeeper,24.666666666666668,26.318181818181817
1974,Scotland,Midfielder,28.833333333333332,26.318181818181817
1974,Sweden,Defender,28.5,27.954545454545453
