year,team,opponent_team,result,team_conf,opponent_conf
2018,Mexico,Germany,Win,CONCACAF,UEFA
1986,Spain,Algeria,Win,UEFA,CAF
2010,England,Germany,Loss,UEFA,UEFA
2014,Russia,Belgium,Loss,UEFA,UEFA
1990,Uruguay,Belgium,Loss,CONMEBOL,UEFA
1950,England,Spain,Loss,UEFA,UEFA
2014,Colombia,Japan,Win,CONMEBOL,AFC
2006,Argentina,Netherlands,Draw,CONMEBOL,UEFA
1978,Peru,Brazil,Loss,CONMEBOL,CONMEBOL
2022,Croatia,Morocco,Draw,UEFA,CAF
1974,Italy,Argentina,Draw,UEFA,CONMEBOL
2018,Iceland,Argentina,Draw,UEFA,CONMEBOL
1986,Mexico,West Germany,Loss,CONCACAF,UEFA
2018,England,Belgium,Loss,UEFA,UEFA
2014,Germany,United States,Win,UEFA,CONCACAF
1982,Argentina,Italy,Loss,CONMEBOL,UEFA
1934,Netherlands,Switzerland,Loss,UEFA,UEFA
2022,Senegal,England,Loss,CAF,UEFA
2006,Ivory Coast,Argentina,Loss,CAF,CONMEBOL
2010,United States,England,Draw,CONCACAF,UEFA
2010,Brazil,Netherlands,Loss,CONMEBOL,UEFA
2010,Algeria,England,Draw,CAF,UEFA
1982,Soviet Union,Belgium,Win,UEFA,UEFA
1938,Romania,Cuba,Draw,UEFA,CONCACAF
1930,Bolivia,Brazil,Loss,CONMEBOL,CONMEBOL
1982,Belgium,Argentina,Win,UEFA,CONMEBOL
1982,Kuwait,France,Loss,AFC,UEFA
2018,Russia,Spain,Win,UEFA,UEFA
1998,Mexico,Germany,Loss,CONCACAF,UEFA
2022,Cameroon,Switzerland,Loss,CAF,UEFA
1998,Iran,Yugoslavia,Loss,AFC,UEFA
1934,Egypt,Hungary,Loss,CAF,UEFA
2014,Ivory Coast,Colombia,Loss,CAF,CONMEBOL
1990,Czechoslovakia,Italy,Loss,UEFA,UEFA
2010,Algeria,United States,Loss,CAF,CONCACAF
1990,United States,Austria,Loss,CONCACAF,UEFA
2022,Saudi Arabia,Argentina,Win,AFC,CONMEBOL
1986,Poland,Brazil,Loss,UEFA,CONMEBOL
2006,Australia,Italy,Loss,AFC,UEFA
1982,France,West Germany,Loss,UEFA,UEFA
1998,Colombia,Romania,Loss,CONMEBOL,UEFA
